Exposure,Outcome,warning
X-12556 || id:633,Nalls et al. 2019 (clinically diagnosed cases),snp+na
1-arachidonoylglycerophosphoinositol* || id:634,Nalls et al. 2019 (clinically diagnosed cases),snp+na
1-arachidonoylglycerophosphoinositol* || id:634,Chang et al. 2017,snp+na
X-12644 || id:636,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12644 || id:636,Chang et al. 2017,snp+na
Asparagine || id:638,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist circumference || id:64,Nalls et al. 2019 (clinically diagnosed cases),na
Waist circumference || id:64,Chang et al. 2017,na
Waist circumference || id:64,Nalls et al. 2014,na
X-12696 || id:640,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12712 || id:642,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12712 || id:642,Chang et al. 2017,snp+na
X-12728 || id:646,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12728 || id:646,Chang et al. 2017,snp+na
X-12728 || id:646,Nalls et al. 2014,snp+na
Waist circumference || id:65,Nalls et al. 2019 (clinically diagnosed cases),na
Waist circumference || id:65,Chang et al. 2017,na
Waist circumference || id:65,Nalls et al. 2014,na
Isovalerylcarnitine || id:652,Nalls et al. 2019 (clinically diagnosed cases),snp+na
"Bradykinin, des-arg(9) || id:656",Nalls et al. 2019 (clinically diagnosed cases),snp+na
"Bradykinin, des-arg(9) || id:656",Chang et al. 2017,snp+na
"Bradykinin, des-arg(9) || id:656",Nalls et al. 2014,snp+na
Waist circumference || id:66,Nalls et al. 2019 (clinically diagnosed cases),na
Waist circumference || id:66,Chang et al. 2017,na
Waist circumference || id:66,Nalls et al. 2014,na
X-12798 || id:661,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12844 || id:665,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12850 || id:667,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-12850 || id:667,Chang et al. 2017,snp+na
X-12850 || id:667,Nalls et al. 2014,snp+na
Waist circumference || id:67,Nalls et al. 2019 (clinically diagnosed cases),na
Waist circumference || id:67,Chang et al. 2017,na
Waist circumference || id:67,Nalls et al. 2014,na
X-12855 || id:670,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-13215 || id:675,Nalls et al. 2019 (clinically diagnosed cases),snp+na
"N2,N2-dimethylguanosine || id:679",Nalls et al. 2019 (clinically diagnosed cases),snp+na
"N2,N2-dimethylguanosine || id:679",Chang et al. 2017,snp+na
"N2,N2-dimethylguanosine || id:679",Nalls et al. 2014,snp+na
Waist circumference || id:68,Nalls et al. 2019 (clinically diagnosed cases),na
Waist circumference || id:68,Chang et al. 2017,na
Waist circumference || id:68,Nalls et al. 2014,na
1-arachidonoylglycerophosphoethanolamine* || id:682,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-13429 || id:683,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-13429 || id:683,Chang et al. 2017,snp+na
X-13431--nonanoylcarnitine* || id:684,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-13435 || id:685,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist circumference || id:69,Nalls et al. 2019 (clinically diagnosed cases),na
Waist circumference || id:69,Chang et al. 2017,na
Waist circumference || id:69,Nalls et al. 2014,na
X-13496 || id:691,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-13496 || id:691,Chang et al. 2017,snp+na
X-13548 || id:693,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Hydroxyisovaleroyl carnitine || id:698,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Glutaroyl carnitine || id:699,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Glutaroyl carnitine || id:699,Chang et al. 2017,snp+na
Glutaroyl carnitine || id:699,Nalls et al. 2014,snp+na
Waist circumference || id:70,Nalls et al. 2019 (clinically diagnosed cases),na
Waist circumference || id:70,Chang et al. 2017,na
Waist circumference || id:70,Nalls et al. 2014,na
1-palmitoylglycerophosphoethanolamine || id:707,Nalls et al. 2019 (clinically diagnosed cases),snp+na
1-palmitoylglycerophosphoethanolamine || id:707,Chang et al. 2017,snp+na
Tetradecanedioate || id:709,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Tetradecanedioate || id:709,Chang et al. 2017,snp+na
Waist circumference || id:71,Nalls et al. 2019 (clinically diagnosed cases),na
Waist circumference || id:71,Chang et al. 2017,na
Waist circumference || id:71,Nalls et al. 2014,na
Hexadecanedioate || id:711,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Dihomo-linolenate (20:3n3 or n6) || id:712,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-14189--leucylalanine || id:719,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist-to-hip ratio || id:72,Nalls et al. 2019 (clinically diagnosed cases),na
Waist-to-hip ratio || id:72,Chang et al. 2017,na
Waist-to-hip ratio || id:72,Nalls et al. 2014,na
X-14205--alpha-glutamyltyrosine || id:720,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-14208--phenylalanylserine || id:721,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-14304--leucylalanine || id:722,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-14626 || id:729,Nalls et al. 2019 (clinically diagnosed cases),snp+na
X-14626 || id:729,Chang et al. 2017,snp+na
Waist-to-hip ratio || id:73,Nalls et al. 2019 (clinically diagnosed cases),na
Waist-to-hip ratio || id:73,Chang et al. 2017,na
Waist-to-hip ratio || id:73,Nalls et al. 2014,na
Octadecanedioate || id:735,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist-to-hip ratio || id:74,Nalls et al. 2019 (clinically diagnosed cases),na
Waist-to-hip ratio || id:74,Chang et al. 2017,na
Waist-to-hip ratio || id:74,Nalls et al. 2014,na
Succinylcarnitine || id:742,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Succinylcarnitine || id:742,Chang et al. 2017,snp+na
Succinylcarnitine || id:742,Nalls et al. 2014,snp+na
"5alpha-androstan-3beta,17beta-diol disulfate || id:746",Nalls et al. 2019 (clinically diagnosed cases),snp+na
"5alpha-androstan-3beta,17beta-diol disulfate || id:746",Chang et al. 2017,snp+na
"5alpha-androstan-3beta,17beta-diol disulfate || id:746",Nalls et al. 2014,snp+na
"4-androsten-3beta,17beta-diol disulfate 1* || id:747",Nalls et al. 2019 (clinically diagnosed cases),snp+na
"4-androsten-3beta,17beta-diol disulfate 1* || id:747",Chang et al. 2017,snp+na
"4-androsten-3beta,17beta-diol disulfate 1* || id:747",Nalls et al. 2014,snp+na
"4-androsten-3beta,17beta-diol disulfate 2* || id:748",Nalls et al. 2019 (clinically diagnosed cases),snp+na
"4-androsten-3beta,17beta-diol disulfate 2* || id:748",Chang et al. 2017,snp+na
"4-androsten-3beta,17beta-diol disulfate 2* || id:748",Nalls et al. 2014,snp+na
Waist-to-hip ratio || id:75,Nalls et al. 2019 (clinically diagnosed cases),na
Waist-to-hip ratio || id:75,Chang et al. 2017,na
Waist-to-hip ratio || id:75,Nalls et al. 2014,na
Palmitoyl sphingomyelin || id:751,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Palmitoyl sphingomyelin || id:751,Chang et al. 2017,snp+na
Palmitoyl sphingomyelin || id:751,Nalls et al. 2014,snp+na
Cis-4-decenoyl carnitine || id:753,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Cis-4-decenoyl carnitine || id:753,Chang et al. 2017,snp+na
Cis-4-decenoyl carnitine || id:753,Nalls et al. 2014,snp+na
Years of schooling || id:755,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Fasting glucose || id:757,Nalls et al. 2019 (clinically diagnosed cases),na
Fasting glucose || id:757,Chang et al. 2017,na
Fasting glucose || id:757,Nalls et al. 2014,na
HbA1C || id:758,Nalls et al. 2019 (clinically diagnosed cases),na
HbA1C || id:758,Chang et al. 2017,na
HbA1C || id:758,Nalls et al. 2014,na
Waist-to-hip ratio || id:76,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist-to-hip ratio || id:76,Chang et al. 2017,snp+na
Waist-to-hip ratio || id:76,Nalls et al. 2014,snp+na
Corrected insulin response || id:761,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Corrected insulin response || id:761,Chang et al. 2017,snp+na
Corrected insulin response || id:761,Nalls et al. 2014,snp+na
Corrected insulin response || id:762,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Fasting proinsulin || id:769,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Fasting proinsulin || id:769,Chang et al. 2017,snp+na
Fasting proinsulin || id:769,Nalls et al. 2014,snp+na
Waist-to-hip ratio || id:77,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist-to-hip ratio || id:77,Chang et al. 2017,snp+na
Waist-to-hip ratio || id:77,Nalls et al. 2014,snp+na
HOMA-B || id:770,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Fasting glucose || id:772,Chang et al. 2017,snp+na
Fasting glucose || id:772,Nalls et al. 2014,snp+na
Fasting glucose || id:773,Nalls et al. 2019 (clinically diagnosed cases),na
Fasting glucose || id:773,Chang et al. 2017,na
Fasting glucose || id:773,Nalls et al. 2014,na
Fasting insulin || id:774,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Fasting insulin || id:774,Chang et al. 2017,snp+na
Fasting insulin || id:774,Nalls et al. 2014,snp+na
Fasting insulin || id:775,Nalls et al. 2019 (clinically diagnosed cases),snp+na
2hr glucose || id:776,Nalls et al. 2019 (clinically diagnosed cases),snp+na
2hr glucose || id:776,Chang et al. 2017,snp+na
2hr glucose || id:776,Nalls et al. 2014,snp+na
Fasting glucose || id:777,Nalls et al. 2019 (clinically diagnosed cases),na
Fasting glucose || id:777,Chang et al. 2017,na
Fasting glucose || id:777,Nalls et al. 2014,na
Fasting insulin || id:778,Nalls et al. 2019 (clinically diagnosed cases),na
Fasting insulin || id:778,Chang et al. 2017,na
Fasting insulin || id:778,Nalls et al. 2014,na
Fasting insulin || id:779,Nalls et al. 2019 (clinically diagnosed cases),na
Fasting insulin || id:779,Chang et al. 2017,na
Fasting insulin || id:779,Nalls et al. 2014,na
Waist-to-hip ratio || id:78,Nalls et al. 2019 (clinically diagnosed cases),na
Waist-to-hip ratio || id:78,Chang et al. 2017,na
Waist-to-hip ratio || id:78,Nalls et al. 2014,na
HDL cholesterol || id:780,Nalls et al. 2019 (clinically diagnosed cases),na
HDL cholesterol || id:780,Chang et al. 2017,na
HDL cholesterol || id:780,Nalls et al. 2014,na
LDL cholesterol || id:781,Nalls et al. 2019 (clinically diagnosed cases),na
LDL cholesterol || id:781,Chang et al. 2017,na
LDL cholesterol || id:781,Nalls et al. 2014,na
Total cholesterol || id:782,Nalls et al. 2019 (clinically diagnosed cases),na
Total cholesterol || id:782,Chang et al. 2017,na
Total cholesterol || id:782,Nalls et al. 2014,na
Triglycerides || id:783,Nalls et al. 2019 (clinically diagnosed cases),na
Triglycerides || id:783,Chang et al. 2017,na
Triglycerides || id:783,Nalls et al. 2014,na
Body mass index || id:785,Nalls et al. 2019 (clinically diagnosed cases),na
Body mass index || id:785,Chang et al. 2017,na
Body mass index || id:785,Nalls et al. 2014,na
Urate || id:789,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist-to-hip ratio || id:79,Nalls et al. 2019 (clinically diagnosed cases),na
Waist-to-hip ratio || id:79,Chang et al. 2017,na
Waist-to-hip ratio || id:79,Nalls et al. 2014,na
Urate || id:790,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Urate || id:791,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Urate || id:791,Chang et al. 2017,snp+na
Urate || id:791,Nalls et al. 2014,snp+na
Urate || id:792,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Urate || id:792,Chang et al. 2017,snp+na
Urate || id:792,Nalls et al. 2014,snp+na
Urate || id:793,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Urate || id:794,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Urate || id:794,Chang et al. 2017,snp+na
Urate || id:794,Nalls et al. 2014,snp+na
Urate || id:795,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Urate || id:795,Chang et al. 2017,snp+na
Urate || id:795,Nalls et al. 2014,snp+na
Urate || id:796,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Urate || id:797,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Urate || id:797,Chang et al. 2017,snp+na
Urate || id:797,Nalls et al. 2014,snp+na
Waist-to-hip ratio || id:80,Nalls et al. 2019 (clinically diagnosed cases),na
Waist-to-hip ratio || id:80,Chang et al. 2017,na
Waist-to-hip ratio || id:80,Nalls et al. 2014,na
Bipolar disorder || id:800,Nalls et al. 2019 (clinically diagnosed cases),snp
Bipolar disorder || id:801,Nalls et al. 2019 (clinically diagnosed cases),snp
PGC cross-disorder traits || id:803,Nalls et al. 2019 (clinically diagnosed cases),snp
PGC cross-disorder traits || id:803,Chang et al. 2017,snp
Waist-to-hip ratio || id:81,Nalls et al. 2019 (clinically diagnosed cases),na
Waist-to-hip ratio || id:81,Chang et al. 2017,na
Waist-to-hip ratio || id:81,Nalls et al. 2014,na
Parkinson's disease || id:812,Nalls et al. 2019 (clinically diagnosed cases),snp
Systemic lupus erythematosus || id:815,Nalls et al. 2019 (clinically diagnosed cases),snp
Neuroblastoma || id:816,Nalls et al. 2019 (clinically diagnosed cases),snp
Waist-to-hip ratio || id:82,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Waist-to-hip ratio || id:82,Chang et al. 2017,snp+na
Waist-to-hip ratio || id:82,Nalls et al. 2014,snp+na
Waist-to-hip ratio || id:83,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Rheumatoid arthritis || id:834,Nalls et al. 2019 (clinically diagnosed cases),snp
Rheumatoid arthritis || id:834,Chang et al. 2017,snp
Rheumatoid arthritis || id:834,Nalls et al. 2014,snp
Body mass index || id:835,Nalls et al. 2019 (clinically diagnosed cases),na
Body mass index || id:835,Chang et al. 2017,na
Body mass index || id:835,Nalls et al. 2014,na
College completion || id:836,Nalls et al. 2019 (clinically diagnosed cases),snp
Years of schooling || id:837,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Years of schooling || id:837,Chang et al. 2017,snp+na
Years of schooling || id:837,Nalls et al. 2014,snp+na
Acetoacetate || id:838,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Alanine || id:840,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Alanine || id:840,Chang et al. 2017,snp+na
Alanine || id:840,Nalls et al. 2014,snp+na
Albumin || id:841,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Apolipoprotein A-I || id:842,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Apolipoprotein A-I || id:842,Chang et al. 2017,na
Apolipoprotein A-I || id:842,Nalls et al. 2014,na
Apolipoprotein B || id:843,Nalls et al. 2019 (clinically diagnosed cases),na
Apolipoprotein B || id:843,Chang et al. 2017,na
Apolipoprotein B || id:843,Nalls et al. 2014,na
Ratio of bisallylic groups to double bonds || id:844,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Ratio of bisallylic groups to double bonds || id:844,Chang et al. 2017,snp+na
Ratio of bisallylic groups to total fatty acids || id:845,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Ratio of bisallylic groups to total fatty acids || id:845,Chang et al. 2017,snp+na
Average number of methylene groups per double bond || id:847,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Average number of methylene groups per double bond || id:847,Chang et al. 2017,snp+na
Average number of methylene groups in a fatty acid chain || id:848,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Average number of methylene groups in a fatty acid chain || id:848,Chang et al. 2017,snp+na
Citrate || id:849,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Extreme body mass index || id:85,Nalls et al. 2019 (clinically diagnosed cases),snp
Extreme body mass index || id:85,Chang et al. 2017,snp
Extreme body mass index || id:85,Nalls et al. 2014,snp
Creatinine || id:850,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Creatinine || id:850,Chang et al. 2017,snp+na
Creatinine || id:850,Nalls et al. 2014,snp+na
Average number of double bonds in a fatty acid chain || id:851,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Average number of double bonds in a fatty acid chain || id:851,Chang et al. 2017,snp+na
"22:6, docosahexaenoic acid || id:852",Nalls et al. 2019 (clinically diagnosed cases),snp+na
"22:6, docosahexaenoic acid || id:852",Chang et al. 2017,snp+na
"22:6, docosahexaenoic acid || id:852",Nalls et al. 2014,snp+na
Free cholesterol to esterified cholesterol ratio || id:853,Nalls et al. 2019 (clinically diagnosed cases),na
Free cholesterol to esterified cholesterol ratio || id:853,Chang et al. 2017,na
Free cholesterol to esterified cholesterol ratio || id:853,Nalls et al. 2014,na
Omega-3 fatty acids || id:855,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Omega-3 fatty acids || id:855,Chang et al. 2017,snp+na
Omega-3 fatty acids || id:855,Nalls et al. 2014,snp+na
Omega-6 fatty acids || id:856,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Omega-6 fatty acids || id:856,Chang et al. 2017,snp+na
Omega-6 fatty acids || id:856,Nalls et al. 2014,snp+na
"Omega-7, omega-9 and saturated fatty acids || id:857",Nalls et al. 2019 (clinically diagnosed cases),snp+na
"Omega-7, omega-9 and saturated fatty acids || id:857",Chang et al. 2017,snp+na
"Omega-7, omega-9 and saturated fatty acids || id:857",Nalls et al. 2014,snp+na
Free cholesterol || id:858,Nalls et al. 2019 (clinically diagnosed cases),na
Free cholesterol || id:858,Chang et al. 2017,na
Free cholesterol || id:858,Nalls et al. 2014,na
Glucose || id:859,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Glucose || id:859,Chang et al. 2017,snp+na
Glutamine || id:860,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Glycoproteins || id:862,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Glycoproteins || id:862,Chang et al. 2017,na
Glycoproteins || id:862,Nalls et al. 2014,na
Glycoprotein acetyls || id:863,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Glycoprotein acetyls || id:863,Chang et al. 2017,snp+na
Glycoprotein acetyls || id:863,Nalls et al. 2014,snp+na
Total cholesterol in HDL || id:864,Nalls et al. 2019 (clinically diagnosed cases),na
Total cholesterol in HDL || id:864,Chang et al. 2017,na
Total cholesterol in HDL || id:864,Nalls et al. 2014,na
Mean diameter for HDL particles || id:865,Nalls et al. 2019 (clinically diagnosed cases),na
Mean diameter for HDL particles || id:865,Chang et al. 2017,na
Mean diameter for HDL particles || id:865,Nalls et al. 2014,na
Histidine || id:866,Nalls et al. 2019 (clinically diagnosed cases),snp+na
Total cholesterol in IDL || id:867,Nalls et al. 2019 (clinically diagnosed cases),na
